Updated,Outlet,Outlet Format,Type of Media,Languages Served 1,Geographic Focus,Communities Served,Outlet Website,Editorial Director Name,Editorial Director Email,Marketing Director Name,Marketing Director Email,Outlet Email,Outlet Phone
,Bayside Times,Newspaper,Print and Digital,English,Queens,Queens,,,,,,,
,Bi Daily Sun New York,Newspaper,Print and Digital,English,Regional – Metro Area,Chinese,dailysunny.com,Chie Tome,tome@dailysunny.com,Yuka Takeuchi,takeuchi@dailysunny.com,tome@dailysunny.com,212-922-9201
,Binah Magazine,Magazine,Print,English,National,"Jewish, Female Identifying",binahmagazine.com,Rachel Roth,rroth@binahmagazine.com,,sales@binahmagazine.com,,"718-305-5200; 
877-BINAH-80"
,Bk Reader,Newspaper,Digital,English,Brooklyn,Brooklyn,https://www.bkreader.com/,C. Zawadi Morris,czm@bkreader.com,C. Zawadi Morris,,,
,Bklyner,Newspaper,Print and Digital,English,Brooklyn,Brooklyn,http://bklyner.com,Liena  Zagare,liena@bklyner.com,Dina  Rabiner,Dina@bklyner.com,liena@bklyner.com,917-496-5888
,Black Enterprise Magazine,Magazine,Digital,English,International,African-American,https://www.blackenterprise.com/,Kyle V. Allman,Allmank@blackenterprise.com,,,,
,Boro Park 24,Newspaper,Digital,English,Brooklyn,Brooklyn,https://boropark24.com/,Yossi | Dee Voch,ads@jdnmail.com,,,,
21-Apr,Bowery Boogie,Newspaper,Digital,English,Manhattan,Lower East Side (Manhattan),https://www.boweryboogie.com/,Elie Perler,tipline@boweryboogie.com,,tipline@boweryboogie.com,BoweryBoogie@gmail.com,
,Brazilian Voice,Newspaper,Print and Digital,Portuguese,Regional – Metro Area,Brazilian,brazilianvoice.com,Roberto Lima,roberto@brazilianvoice.com,Fabianne Lima,fabianne@brazilianvoice.com,news@brazilianvoice.com,973-491-6200
21-Aug,BRIC TV,Television,Broadcast,"English, Akan, Albanian, Arabic, Chinese, French, Haitian Creole, Hebrew, Italian, Japanese, Portuguese, Romanian, Russian, Spanish, Yiddish, Yoruba",Brooklyn,Brooklyn,bricartsmedia.org,Jonathan Leif,JLief@bricartsmedia.org,James Michael Nichols,jmnichols@bricartsmedia.org,bric@BRICartsmedia.org,718-683-5600
,Broadsheet,Newspaper,Print,English,Manhattan,Manhattan,ebroadsheet.com,Matthew Fenton,editor@ebroadsheet.com,"Robert Simko, Kris Frederick",Robert@eBroadsheet.com,,212-912-1106
,Bronx Chronicle,Newspaper,Print and Digital,English,Bronx,Bronx,thebronxchronicle.com/,"Sal J. Conforto;
Michael Benjamin (Managing Editor)",sal@thebronxchronicle.com mbenjamin@thebronxchronicle.com,"Omesh Persaud;
Sal J. C",sales@thebronxchronicle.com,,347-224-7635
,Bronx Voice,Newspaper,Print and Digital,English,Bronx,Bronx,bronxvoice.com,Daniel Gesslein,voicebronx@gmail.com,Daniel Gesslein,bxadsvoice@gmail.com,,646-671-0602
21-Aug,BronxNet,Television,Broadcast,English,New York City,,https://www.bronxnet.org/,,,,,viewerquestions@bronxnet.org,
21-Apr,Brooklyn Deep,Newspaper,Digital,English,Brooklyn,Central Brooklyn,http://brooklyndeep.org/,,bkd@brooklyndeep.org,,,bkd@brooklyndeep.org,
,Brooklyn Downtown Star,Newspaper,Digital,English,Brooklyn,Brooklyn,http://www.brooklyndowntownstar.com/,Tammy,ads@queensledger.com,,,,
,Brooklyn Eagle,Newspaper,Print and Digital,English,Brooklyn,Brooklyn,brooklyneagle.com,Dozier Hasty - Mary Frost,mary@brooklyneagle.com,Katrina Ramus,kat@brooklyneagle.com,,718-422-7421
,Brooklyn Northside News,Newspaper,Print and Digital,English,Brooklyn,Brooklyn,https://northbrooklynnews.com/,,,,,,
,Brooklyn Paper,Newspaper,Digital,English,Brooklyn,Brooklyn,brooklynpaper.com,Colin Mixson,BPNewsroom@SchnepsMedia.com,Ralph D’Onofrio,Ads@SchnepsMedia.com,,718-260-2510
,Brownstoner Media,Other Website,Print and Digital,English,Brooklyn,Brooklyn,https://www.brownstoner.com/,,,,,,
,Bushwick Daily Online,Newspaper,Digital,English,Brooklyn,Brooklyn,Bushwickdaily.com,Irina Groushevaia,"irina@bushwickdaily.com; 
bushwickdaily@gmail.com",Alec Meeker,alec@bushwickdaily.com,,814-464-3709
,Business Equality Magazine,Magazine,Print and Digital,English,National,LGBTQ+,https://businessequalitymagazine.com/,,,,,,
,Canarsie Courier,Newspaper,Print,English,Brooklyn,Brooklyn,canarsiecourier.com,Charles Rogers,canarsiec@aol.com,Catherine Rosa,kate195@aol.com,canarsiec@aol.com,718-257-0600
,Caribbean American Weekly,Newspaper,Print and Digital,English,Regional – Metro Area,Caribbean,caribbeanamericanweekly.com,Pearl Phillip,cariaweekly@aol.com,Pearl Phillip,cariaweekly@aol.com,cariaweekly@aol.com,718-771-0988
,Caribbean Life News,Newspaper,Print and Digital,English,Regional – Metro Area,Caribbean,caribbeanlifenews.com,Kevin Williams,mwilliams@schnepsmedia.com,Ralph D'Onofrio,Ronofrio@schnepsmedia.com,,718-260-2510
21-Aug,Caribbean Media Zone,Television,Broadcast,,,Caribbean,,,,,,,
21-Nov,Caribbean People Newspaper,Newspaper,Digital,English,,Caribbean,http://cpnews1.com/,,,,,gmediamarketing@yahoo.com,347-221-0607
21-Aug,Caribbean Spotlight,Television,Broadcast,English,New York City,Caribbean,,,,,,,
,Caribbean Times,Newspaper,Digital,English,New York City,Caribbean,caribbeantimesnyc.com/contact,Michael Derek Roberts,production@caribbeantimesnews.com,Mike Babwar,mike@caribbeantimesnews.com,,718-909-1841
,Catholic New York,Newspaper,Print and Digital,English,Brooklyn,Catholic,www.cny.org,John Woods,"cny@cny.org, jwoods@cny.org",Patricia Scanlon,pscanlon@cny.org,,212-688-2399 ext. 3144
21-Apr,Chalkbeat,Newspaper,Digital,English,National,-,https://ny.chalkbeat.org/,Amy Zimmer,azimmer@chalkbeat.org,Sky Barsch,sbarsch@chalkbeat.org,contact@chalkbeat.org,
21-Aug,Chardikala Time TV,Television,Broadcast,Punjabi,National,Indian,https://timetv.news/,,,,,,+91 98155 02311
21-Apr,Chelsea Community News,Newspaper,Digital,English,Manhattan,Chelsea (Manhattan),http://ChelseaCommunityNews.com,Scott Stiffler,scottsaysgo@gmail.com,,,scottsaysgo@gmail.com,917-279-3386
,Chelsea News,Newspaper,Print and Digital,English,Manhattan,Manhattan,http://www.chelseanewsny.com/,,,Sheila Voelker,,,845-469-9000
,China Press,Newspaper,Digital,Chinese,International,Chinese,ny.uschinapress.com,I-Der Jeng,"news@chinapress.net;
info@chinapress.net",Sam Guo,sguo@chinapress.net,,212-683-8282
21-Apr,City & State,Newspaper,Print and Digital,English,New York City,-,http://cityandstateny.com,Jon Lentz,jlentz@cityandstateny.com,Jim Katocin,jkatocin@cityandstateny.com,editor@cityandstateny.com,212-268-0442
,City Limits,Magazine,Digital,"Spanish, English",New York City,-,citylimits.org,Jarrett Murphy,jarrett@citylimits.org,,,editor@citylimits.org,646.693.4459
21-Apr,City Voices,Newspaper,Digital,English,New York City,Mental Health,https://www.cityvoicesonline.org/,,CityVoices1995@gmail.com,,CityVoices1995@gmail.com,CityVoices1995@gmail.com,
,Col Live,Newspaper,Digital,"Hebrew, English",New York City,Jewish,http://www.collive.com/,Yudi Ceitlin,editor@collive.com,Yosef Soffer,Ads@COLlive.com,,212-599-4333
21-Apr,Colorlines,Newspaper,Digital,English,National,-,http://colorlines.com,,,,,info@colorlines.com,
21-Aug,Colors TV - Aapka Colors,Television,Broadcast,Hindi,,Indian,http://www.aapkacolors.com/,,,,,,
21-Aug,Colors TV - Bangla,Television,Broadcast,Bengali,,Indian,https://www.colorsbangla.com/,,,,,,
,Community News Group,Newspaper,Print and Digital,English,New York City,Caribbean,cnglocal.com,Robert Pozarycki,rpozarycki@schnepsmedia.com,Brian Rice,brice@schnepsmedia.com,,718-224-5863
,Co-op City Times,Newspaper,Digital,English,Bronx,Bronx,,Rozaan Boone,cctimes@riverbaycorp.com,Jennifer Flynn,cctimes@riverbaycorp.com,cctimes@riverbaycorp.com,718-320-3300
21-Aug,COSMOS FM,Radio,Broadcast,"Greek, English",Regional,Greek,http://www.cosmosfm.org/,,,,,cosmosfm@gaepis.org,718-204-8900
21-Nov,Country Yossi,Magazine,Digital,English,,Jewish,http://countryyossi.com/STAGE1/main.php,,,,,info@countryyossi.com,(718) 851-2010
,Courier Sun,Newspaper,Print and Digital,English,Queens,Queens,qns.com,,,,,,
,Crown Heights,Newspaper,Digital,English,Brooklyn,Jewish,crownheights.info,Ben Adelman,news@crownheights.info,Ben Adelman,sales@crownheights.info,,718-285-8000
21-Aug,Davidzon Media - Radio,Radio,Broadcast,Russian,Regional,,http://www.davidzonradio.com/,,,,,info@DavidzonRadio.com,718-303-8000
,Dee Voch,Magazine,Print and Digital,"Hebrew, English",New York City,Jewish,,,,,,,
,Dejando Huellas,Magazine,Print,Spanish,New York City,Latinx,,,,Carlos Varas,,cvaras34@yahoo.com,347-465 8951
21-Nov,Der Blatt,Newspaper,Digital,Yiddish,,Jewish,https://www.derblatt.com/,,,,ads@derblatt.com,,845-783-1148
,Der Yid,Newspaper,Print and Digital,Yiddish,New York City,Jewish,http://www.deryid.org/,Samuel M. Stern,"samstern146@gmail.com; samstern@deryid.org;
shia@deryid.org; news@deryid.org",Shia Friedman,shia@deryid.org; adv@deryid.org,,718-797-3900
,Desi Talk,Newspaper,Print,English,International,Indian,desitalk.com,Sunil Adam,suniladam@yahoo.com,Shomik Chaudhuri,shomik@newsindia-times.com,editor@newsindia-times.com,212-675-7515
21-Aug,Deutsche Welle TV,Television,Broadcast,English,,Germany,https://www.dw.com/en/top-stories/s-9097,,,,,,
,Disability Scoop,Newspaper,Print and Digital,English,National,People w/ disabilities,https://www.disabilityscoop.com/,,,,,,
21-Apr,Documented,Newspaper,Digital,"English, Spanish",New York City,Immigrants,http://documentedny.com,Mazin Sidahmed,mazin.sidahmed@documentedny.com,,,info@documentedny.com,347-449-3242
,Downtown Post NYC,Newsletter,Digital,English,Manhattan,Manhattan,DowntownPostNYC.com,Terese Loeb Kreuzer,TereseLoeb10@gmail.com; editor@downtownpostnyc.com,Terese Loeb Kreuzer,advertising@downtownpostnyc.com,,212-807-7509
,Druzhba,Magazine,Digital,Russian,National,"Jewish, Russian",https://www.druzhba.org/,Miriam Yakubov,druzhba1@yahoo.com,Nahum Kaziev,druzhba1@yahoo.com,druzhba1@yahoo.com,718-275-3318
,Dunya International,Newspaper,Digital,"English, Urdu",National,Pakistani,dunyaintl.com,Manzoor Hussain,manzhussain72@yahoo.com,"Rehana Manzoor;
Zahid Hussain","hinahina7676@yahoo.com;
zahidhussain09@hotmail.com",,718-421-1684
21-Apr,Dvar Yoim,Newspaper,Print,Yiddish,New York City,Jewish,http://www.dvaryoim.com/,,DvarYoim@DvarYoim.com,,Ads@DvarYoim.com,DvarYoim@DvarYoim.com,718-384-4190
21-Apr,East New York,Newspaper,Digital,English,Brooklyn,East New York (Brooklyn),https://eastnewyork.com/,,info@jig.media,,info@jig.media,info@jig.media,877-356-9739
21-Aug,Easy 96,Radio,Broadcast,"English, Hindi, Bengali, Punjabi, Bangladeshi, Urdu, Gujarati",Regional – Metro Area,South Asian,https://easy96.com/index.html,Rohit Jagessar,easy96radio@yahoo.com,Sangeet Sharma,easy96radio@yahoo.com,"info@easy96.com , easy96radio@yahoo.com",646-479-9193
21-Aug,EBC Radio,Radio,Broadcast,"Hindi, English",Regional,South Asian,https://ebcmusic.com/,Arvind Agrawal,Arvind@ebcmusic.com,Alka Agrawal,alka@ebcmusic.com,Info@EBCMusic.com; arvind@ebcmusic.com,732-261-3332
,Ecuador News,Newspaper,Digital,Spanish,New York City,Latinx,https://ecuadornews.com.ec/,Marcelo Arboleda,ecuanews@inch.com,,,ecuanews@inch.com,347-239-3152
,eJapion,Newspaper,Print and Digital,Japanese,National,Japanese,ejapion.com,Shintaro Tanaka,tanaka@nyjapion.com,Yoshino Yusuke,yosino@trendpot.com,,212-431-9970
,El Correo,Newspaper,Digital,Spanish,Regional – Metro Area,Latinx,queenscourier.com,Karmina Lopez,klopez@queenscourier.com,Bob Brennan,bbrennan@queenscourier.com,elcorreo@queenscourier.com,718-224-5863
,El Diario,Newspaper,Digital,Spanish,Regional – Metro Area,Latinx,eldiariony.com,Carmen Villavicencio,carmen.villavicencio@eldiariony.com; david.ramirez@eldiariony.com,Oscar Hernandez,oscar.hernandez@eldiariony.com,,212-807-4686
,El Especial,Newspaper,Digital,Spanish,New York City,Latinx,elespecial.com,Gustavo Reyes,greyes@elespecial.com,Anthony Ibarria Jr.,anthony@elespecial.com,,201-348-1959
,Enterate,Magazine,Print,Spanish,Regional – Metro Area,Latinx,enteratemagazineny.com,Jesus Edgardo Cabezas,jecabezas@aol.com,Jesus Edgardo Cabezas,jecabezas@aol.com,jecabezas@aol.com,347-731-0043
21-Nov,Epoch Times,Newspaper,Digital,Chinese,Regional – Metro Area,Chinese,http://www.epochtimes.com/,Helen Zhou,helen.zhou@epochtimes.com,Ellen Wang,ellen.w@epochtimes.com,editor@epochtimes.com,212-244-3395
,Everest Times,Newspaper,Digital,Nepali,National,Nepalese,http://everesttimesnews.com,Angchhiri Sherpa,angchhiring@hotmail.com,Angchhiri Sherpa,everesttimes@gmail.com,everesttimes@gmail.com,347-741-1522
,Everybody's Magazine,Magazine,Print,English,Regional – Metro Area,Caribbean,everybodysmag.com,Herman Hall,editor@everybodysmag.com; herman@everbodysmag.com,Herman Hall,herman@everbodysmag.com,,718-941-1879
21-Apr,Feet in 2 Worlds,Newspaper,Digital,English,New York City,Immigrants,http://www.fi2w.org/,Rob St. Mary,robstmary@gmail.com,,,contact@feetin2worlds.org,
,Filipino Reporter,Newspaper,Print and Digital,English,International,Filipino,filipinoreporter.us,Libertito Pelayo,filipinoreporter@aol.com,Albert Ignacio,alvignacio@yahoo.com,filipinoreporter@aol.com,212-967-5784
,Flatbush Jewish Journal,Journal,Digital,Yiddish,Brooklyn,"Jewish, Brooklyn",flatbushjewishjournal.com,"Mordy Mehlman;
Monica Sokol",editor@thefjj.com,"Mordy Mehlman;
Monica Sokol",ads@thefjj.com,,718-692-1144
,Flushing Post,Newspaper,Print and Digital,English,Queens,Queens,flushingpost.com,,,,,,
,Forest Hills Post,Newspaper,Print and Digital,English,Queens,Queens,foresthillspost.com,,,,,,
,Forest Hills Times,Newspaper,Print and Digital,English,Queens,Queens,foresthillstimes.com,,,,,,
,Forum Daily,Newspaper,Digital,Russian,National,Russian,forumdaily.com,Julia Buniak,forumdaily@gmail.com,Marina Baranchuk,ad@forumdaily.com,,347-604-1261
21-Apr,Forum USA,Newspaper,Print and Digital,"Turkish, English",National,Turkish,http://www.forumusa.com,,"info@forumusa.com, editor@forumusa.com",,,info@forumusa.com,201-654-3978
,Forverts (The Yiddish Daily Forward),Newspaper,Digital,English,National,Jewish,forward.com,Dan  Friendman,dfriedman@forward.com,Kim Amzallag,amzallag@forward.com,newsdesk@forward.com,212-889-8200
,Forverts (The Yiddish Daily Forward),Newspaper,Digital,"English, Yiddish, Hebrew",National,Jewish,forward.com,Dan  Friendman,dfriedman@forward.com,Kim Amzallag,amzallag@forward.com,newsdesk@forward.com,212-889-8200
21-Apr,French Morning,Newspaper,Digital,French,National,French,https://frenchmorning.com/edition/new-york/,,redaction@frenchmorning.com,,pub@frenchmorning.com,pub@frenchmorning.com,646-515-4571
,Gay City News,Newspaper,Print and Digital,English,Regional – Metro Area,LGBTQ+,gaycitynews.com,Paul Schindler,editor@gaycitynews.com,Francesco Regini,francesco@gaycitynews.com,francescoregini@gmail.com,646-452-2496
,Get Out Magazine,Magazine,Print and Digital,English,New York City,LGBTQ+,https://getoutmag.com/,Monique Burton,monique@rivendellmedia.com,,,,
,Glendale Register,Newspaper,Print and Digital,English,Queens,Queens,glendaleregister.com,,,,,,
21-Apr,Gotham Gazette,Newspaper,Digital,English,New York City,-,http://gothamgazette.com,Ben Max,bmax@gothamgazette.com,JaVon Rice,wrice@gothamgazette.com,info@gothamgazette.com,212-227-0342
,Gothamist,Newspaper,Digital,English,New York City,-,https://gothamist.com/,,,,,,
21-Apr,Greek News Online,Newspaper,Print and Digital,"English, Greek",National,Greek,https://www.greeknewsonline.com/,Apostolos E. Zoupaniotis,info@greeknewsonline.com,,,info@greeknewsonline.com,718-545-4888
,Greek Orthodox Observer,Newspaper,Print and Digital,English,International,Greek,https://www.goarch.org/news/observer,Eleftherios Pisalidis,epissalidis@goarch.org,,,,
21-Apr,Greenpoint Gazette,Newspaper,Print and Digital,English,Brooklyn,Greenpoint (Brooklyn),http://greenpointnews.com/,J.D. Hasty,jdh@ebrooklynmedia.com,Katrina Ramus,kat@ebrooklynmedia.com,,
,Greenpoint Post,Newspaper,Print and Digital,English,Brooklyn,Brooklyn,greenpointpost.com,,,,,,
,Greenpoint Star,Newspaper,Print and Digital,English,Brooklyn,Brooklyn,greenpointstar.com,,,,,,
,Greenpointers,Newspaper,Print and Digital,English,Brooklyn,Brooklyn,greenpointers.com,,,,,,
,Gujarat Times,Newspaper,Print,English,National,Gujarati,newsindiatimes.com,Ilayas Quraishi,iq@newsindia -times.com,Ilayas Quraishi,,,212-675-7515
,Haiti Liberte,Newspaper,Print and Digital,Haitian Creole,International,Haitian,haitiliberte.com,Berthony Dupont,editor@haitiliberte.com,Kim Ives,editor@haitiliberte.com,,718-421-0162
,Haiti Observateur,Newspaper,Print and Digital,Haitian Creole,International,Haitian,haiti-observateur.net,Leo Joseph,lojospo@yahoo.com,Maurice Moses,haiti_observateur@yahoo.com,haiti_observateur@yahoo.com,718-812-2820
,Haiti Progres,Magazine,Print and Digital,"French, Haitian Creole",International,Haitian,haitiprogres.com,Maude Le Blanc,newyork@haitiprogres.com,Dianne Cooper,diannecooper@verizon.net,newyork@haitiprogres.com,917 548 5568
,Haitian Times,Newspaper,Print and Digital,Haitian Creole,New York City,Haitian,haitiantimes.com,Vania  Andre,vania.andre617@gmail.com,Vania Andre,ads@haitiantimes.com,editor@haitiantimes.com,718-230-8700;  917-426-5214
,Hamachne Hachareidi,Newspaper,Digital,"Hebrew, Yiddish",New York City,Jewish,hamachne.com,Pesach Lemberger,news@hamachne.com,Pesach Lemberger,news@hamachne.com,,718-438-1263
,Hamodia,Newspaper,Print and Digital,English,International,Jewish,hamodia.com,Reuvain Borchardt,rborchardt@hamodia.com; Ydonn@hamodia.com; submissions@hamodia.com,David Frankel,ads@hamodia.com; sales@hamodia.com,,718-853-9094
,Harlem Community News,Newspaper,Print and Digital,English,New York City,African-American,harlemcommunitynews.com,Pat Stevenson,harlemnewsinc@aol.com,Pat Stevenson,harlenmnewsinc@aol.com,,212-996-6006
,Harlem World Magazine,Newspaper,Digital,English,International,African-American,harlemworldmag.com,Daniel Tisdale,hwcontact@yahoo.com,,,hwcontact@yahoo.com,646-216-8698
21-Apr,HarlemView,Newspaper,Digital,English,Manhattan,Harlem (Manhattan),http://www.HarlemView.com,Susan Thorson,"thorsonsusan@gmail.com, sthorso000@citymail.cuny.edu",,harlemviewccny@gmail.com,thorsonsusan@gmail.com,917-678-6069
,Hellenic Times,Newspaper,Digital,"Greek, English",New York City,Greek,hellenictimes.org,James Kapsalis,hellenictimes@aol.com,,,,212-986-6881
21-Apr,Her Agenda,Website,Digital,English,National,"African-American, Female-Identifying",https://heragenda.com/,Rhonesha Byng,rhonesha@heragenda.com,,,rhonesha@heragenda.com,
,Hispanic Network Magazine,Magazine,Print and Digital,English,National,Latinx,https://www.hnmagazine.com/,Sheila Hill,shill@diversitycomm.net,,,,
,Illyria News,Newspaper,Digital,Albanian,National,Albanian,illyriapress.com,Ruben Avxhiu,"ruben@illyriapress.com;
info@illyriapress.com",Gena Morina,marketing@illyriapress.com,,212-868-2224
21-Nov,Image Magazine,Magazine,Digital,English,,Jewish,https://imageusa.com/,,,,https://imageusa.com/about/,,
,Impacto Latino,Newspaper,Print and Digital,Spanish,International,Latinx,impactolatino.com,Jason Smith,jsmith@impactolatino.com,Gail Smith,gsmith@impactolatino.com,,212-807-0400
21-Apr,Irish America Magazine,Magazine,Print and Digital,English,National,Irish,http://irishamerica.com,Patricia Harty,submit@irishamerica.com,Mary Cucinell,maryc@irishamerica.com,info@irishamerica.com,212-725-2993
21-Apr,Irish Central,Newspaper,Print and Digital,English,Regional – Metro Area,Irish,irishcentral.com,Debbie McGoldrick,dmcgoldrick@irishvoice.com,Mairead Bresnan,mdoyle@irishvoice.com,,212-684-3366
,Irish Echo,Newspaper,Print and Digital,English,Regional – Metro Area,Irish,irishecho.com,Ray O'Hanlon,rohanlon@irishecho.com,Mairead Tully,mtully@irishecho.com,pmcdermott@irishecho.com,212-482-4818
21-Aug,Irish Radio Network USA,Radio,Broadcast,English,National,Irish,http://www.irishradio.com/,,,,,info@irishradio.com,212-935-0606
21-Aug,ITV Gold,Television,Broadcast,,,Indian,https://itvgold.com/,,,,,,212-675-7515
21-Aug,ITVN,Television,Broadcast,Polish,,Polish,https://www.tvn.pl/,,,,,WIDZOWIE@TVN.PL,22 856 61 61
,Jackson Heights Post,Newspaper,Print and Digital,English,Queens,Queens,jacksonheightspost.com,,,,,,
,Jewish Connection,Newspaper,Print and Digital,English,New York City,Jewish,jewishc.com,,,,,,
,Jewish Currents,Magazine,Digital,English,National,Jewish,jewishcurrents.org,Lawrence Bush,lawrencebush@earthlink.net,,,lawrencebush@earthlink.net,845-626-2427
,Jewish Herald,Newspaper,Print and Digital,English,Brooklyn,"Jewish, Brooklyn",,Leon J. Sternheim,leon@jewishherald.com,Ruth Kallen,ruth@jewishherald.com,,718-972-4000
,Jewish Insider,Newspaper,Digital,English,National,Jewish,jewishinsider.com,,Editor@JewishInsider.com,,,,
,Jewish Post,Newspaper,Print and Digital,English,Regional – Metro Area,Jewish,jewishpost.com,Henry Levy,henryjlevy@yahoo.com,Henry Levy,henryjlevy@yahoo.com,jewishpost@yahoo.com,212-563-9219
,Jewish Press,Newspaper,Print and Digital,English,National,Jewish,jewishpress.com,Jerry Greenwald,editor@jewishpress.com,Marc Klein,mklein@jewishpress.com,editor@jewishpress.com,718-330-1100
,Jewish Voice,Newspaper,Digital,English,National,Jewish,http://thejewishvoice.com/,David BenHooren,publisher@jewishvoiceny.com,,,,
,Jewish Vues,Newspaper,Print and Digital,English,New York City,Jewish,jewishvues.com,,,,,,
,Jewish Week,Newspaper,Print and Digital,English,National,Jewish,thejewishweek.com,Gary Rosenblatt,gary@jewishweek.org,Ruth Rothseid,ruth@jewishweek.org,editor@jewishweek.org,212-921-7822
,Jewish World,Newspaper,Print and Digital,English,National,Jewish,jewishworldnews.org/contact,Laurie Clevenson,news@jewishworldnews.org,Jim Clevenson,jim@jewishworldnews.org,,518-344-7018
,Jezebel,Newspaper,Digital,English,National,Female Identifying,https://jezebel.com/,,,,,,
,JP News,Newspaper,Print,English,New York City,Jewish,jpnewsny.com,,info@jpupdates.com,,,,
21-Aug,Jus Punjabi,Television,Broadcast,Punjabi,International,,https://www.jusbroadcasting.com/,,,,,,718-752-9290
,Kan Zhong Guo (Vision Times),Newspaper,Print and Digital,"Chinese, English",Regional – Metro Area,Chinese,http://www.secretchina.com,Henry Wang,henry.wang@visiontimes.com,Michael Xu,michael.xu@visiontimes.com,henry.wang@visiontimes.com,212-730-6963
,Kashrus Magazine,Magazine,Digital,English,Regional – Metro Area,Jewish,kashrusmagazine.com,Rabbi Yosef Wikler,editorial@kashrusmagazine.com,Rabbi Yosef Wikler,ads@kashrusmagazine.com,,718-336-8544
